,region,date,weighted_average_r
207,south east,2020-06-26,0.7998718643006967
208,south east,2020-07-03,0.8490784969493095
209,south east,2020-07-10,0.8989698999470098
210,south east,2020-07-17,0.8999916493067371
211,south east,2020-07-24,0.8998635136074338
212,south east,2020-07-31,0.8990980356463134
213,south east,2020-08-07,0.8981848832888857
214,south east,2020-08-14,0.8511220367515271
215,south east,2020-08-21,0.9001420598530553
216,south east,2020-08-28,0.9980344727425675
217,south east,2020-09-04,0.9001420598530553
218,south east,2020-09-11,1.0988974608627138
219,south east,2020-09-18,1.2481012972836112
220,south east,2020-09-25,1.1513448452993782
221,south east,2020-10-02,1.2481430697448668
222,south east,2020-10-09,1.3032797880992961
223,south east,2020-10-16,1.4000501642372811
224,south east,2020-10-23,1.3491481998835948
225,south east,2020-10-30,1.3000863632380477
226,south east,2020-11-06,1.298955975793258
227,south east,2020-11-13,1.298928127485754
228,south east,2020-11-20,1.1988417642477067
229,south east,2020-11-27,1.0977698506506977
230,south east,2020-12-04,0.9986189146170922
231,south east,2020-12-11,0.9997270272148675
232,south east,2020-12-18,1.201556068079734
233,south east,2020-12-23,1.3004396047886957
234,south east,2021-01-08,1.2491425853403426
235,south east,2021-01-15,1.1016178591672738
236,south east,2021-01-22,0.8485887690060954
237,south east,2021-01-29,0.800395535023947
238,south east,2021-02-05,0.7510941884440233
239,south east,2021-02-12,0.7510941884440233
240,south east,2021-02-19,0.7001364863925662
241,south east,2021-02-26,0.7978004761909753
242,south east,2021-03-05,0.7000445496940293
243,south east,2021-03-12,0.6998857884544484
244,south east,2021-03-19,0.798877963248473
245,south east,2021-03-26,0.8498718643006965
246,south west,2020-06-12,0.9499474136124256
247,south west,2020-06-19,0.7500966228860099
248,south west,2020-06-26,0.7500525863875745
249,south west,2020-07-03,0.8500220182492175
250,south west,2020-07-10,0.8999559635015647
251,south west,2020-07-17,0.8999779817507824
252,south west,2020-07-24,0.8500305681383568
253,south west,2020-07-31,0.9499033771139903
254,south west,2020-08-07,0.9499474136124256
255,south west,2020-08-14,0.8999694318616431
256,south west,2020-08-21,0.9499474136124256
257,south west,2020-08-28,0.9999779817507823
258,south west,2020-09-04,0.9499474136124256
259,south west,2020-09-11,1.0500085498891394
260,south west,2020-09-18,1.250044036498435
261,south west,2020-09-25,1.2499829002217213
262,south west,2020-10-02,1.250044036498435
263,south west,2020-10-09,1.4498642590864943
264,south west,2020-10-16,1.449925395363208
265,south west,2020-10-23,1.4498287724771983
266,south west,2020-10-30,1.3499474136124257
267,south west,2020-11-06,1.2999559635015645
268,south west,2020-11-13,1.2999559635015645
269,south west,2020-11-20,1.150008549889139
270,south west,2020-11-27,1.0000611362767138
271,south west,2020-12-04,0.8500917044150705
272,south west,2020-12-11,0.9000611362767137
273,south west,2020-12-18,1.0501137226642883
274,south west,2020-12-23,1.1001222725534276
275,south west,2021-01-08,1.2999474136124254
276,south west,2021-01-15,1.349825141058998
277,south west,2021-01-22,1.0498777274465727
278,south west,2021-01-29,0.9499082955849295
279,south west,2021-02-05,0.7999694318616432
280,south west,2021-02-12,0.7999694318616432
281,south west,2021-02-19,0.7499694318616432
282,south west,2021-02-26,0.7001051727751488
283,south west,2021-03-05,0.7000440364984352
284,south west,2021-03-12,0.6500525863875745
285,south west,2021-03-19,0.750030568138357
286,south west,2021-03-26,0.8000525863875745
287,west midlands,2020-06-12,0.9000294179082466
288,west midlands,2020-06-19,0.8998780596284148
289,west midlands,2020-06-26,0.7999857316541199
290,west midlands,2020-07-03,0.8999310144247812
291,west midlands,2020-07-10,0.8000925224633388
292,west midlands,2020-07-17,0.8500386864504862
