,region,date,weighted_avg_sars_cov2,gene_copies_per_day,regional_pop,avg_r_lower,avg_r_avg,avg_r_upper,temp,suspended_solids_mg_l,ammonia_mg_l,ophosph_mg_l,sample_ph_pre_ansis,control_gc_l_mean,reac_vol_control,raw_ansis_sars_repc_std,compo_frac,sars_below_lod,sars_below_loq,reception_delay
235,london,2020-12-11,72739.82756734097,1447308869539055.5,49742655.363018565,0.9,1.0,1.1,"(105.12622907696765, 27.19273534342786, 3.2299082637346683, 7.678353500400909, 9564251.073309092, 2.0, 29.164009860606075, 0.9195990282287122, 1.0, 0.0, 24.39277861529452)",105.12622907696765,27.19273534342786,3.2299082637346683,7.678353500400909,9564251.073309092,2.0,29.164009860606075,0.9195990282287122,1.0,0.0,24.39277861529452
239,london,2020-12-18,274249.8188375874,5595523902314022.0,51007544.19848614,1.1001429234027964,1.2001429234027965,1.3001429234027961,"(261.5841006280001, 26.2786313001423, 3.033043477201303, 7.642676370040201, 9372437.448665055, 2.0, 118.84247770183146, 0.46705630944680465, 0.8193835502003091, 0.7808553388463904, 23.357632133336395)",261.5841006280001,26.2786313001423,3.033043477201303,7.642676370040201,9372437.448665055,2.0,118.84247770183146,0.46705630944680465,0.8193835502003091,0.7808553388463904,23.357632133336395
242,london,2020-12-23,122550.43964572047,2500398786709198.0,51007544.19848614,1.2,1.3497894486395938,1.4995788972791873,"(190.59567955040689, 22.246925500646785, 2.681313431644646, 7.664989361737366, 9372437.448665055, 2.0, 52.23179307675168, 0.9255625346281487, 0.7931034324241342, 0.07443746537185138, 23.656076350982)",190.59567955040689,22.246925500646785,2.681313431644646,7.664989361737366,9372437.448665055,2.0,52.23179307675168,0.9255625346281487,0.7931034324241342,0.07443746537185138,23.656076350982
250,london,2021-01-08,11456.91089599677,233755555562269.1,51007544.19848614,1.1,1.249928538298602,1.3998570765972038,"(173.4540210319676, 30.29105967944355, 3.501751373782012, 7.642676370040201, 9372437.448665055, 2.0, 4.739711378364032, 0.47930440302454824, 0.0, 0.0, 24.26035272642886)",173.4540210319676,30.29105967944355,3.501751373782012,7.642676370040201,9372437.448665055,2.0,4.739711378364032,0.47930440302454824,0.0,0.0,24.26035272642886
254,london,2021-01-15,59334.91677226657,1210611355909953.5,51007544.19848614,0.900564026123609,1.0503534747632026,1.2001429234027963,"(140.49706748119786, 13.85022296651507, 1.6545015124836335, 7.642676370040201, 9372437.448665055, 2.0, 57.167664533983796, 0.9255625346281487, 0.0, 0.0, 24.15977331853053)",140.49706748119786,13.85022296651507,1.6545015124836335,7.642676370040201,9372437.448665055,2.0,57.167664533983796,0.9255625346281487,0.0,0.0,24.15977331853053
258,london,2021-01-22,23302.502549724788,475441371496169.25,51007544.19848614,0.6998570765972038,0.8001390896590083,0.9004211027208128,"(132.32186355705312, 23.455356667914703, 2.752300314125282, 7.642676370040201, 9372437.448665055, 2.0, 21.615982209830513, 0.913314441050405, 0.5206955969754519, 0.0, 23.464842871014785)",132.32186355705312,23.455356667914703,2.752300314125282,7.642676370040201,9372437.448665055,2.0,21.615982209830513,0.913314441050405,0.5206955969754519,0.0,23.464842871014785
262,london,2021-01-29,39557.59995843859,571413291360438.1,36112737.625689924,0.6005640261236089,0.7502820130618044,0.9,"(98.30889733978998, 13.062236548314546, 1.4744783346814414, 7.707241054444249, 10640231.461393025, 2.0, 103.77228210542026, 0.05377206532862027, 0.8533992360537811, 0.0, 24.333305643035526)",98.30889733978998,13.062236548314546,1.4744783346814414,7.707241054444249,10640231.461393025,2.0,103.77228210542026,0.05377206532862027,0.8533992360537811,0.0,24.333305643035526
266,london,2021-02-05,14867.052894895016,303332743055035.56,51007544.19848614,0.6001429234027962,0.7003534747632026,0.8005640261236089,"(162.57174373716893, 16.2057216149868, 1.9830168518489526, 7.642676370040201, 9372437.448665055, 2.0, 35.244370208176406, 0.7449460848284577, 0.45894369415178843, 0.0, 24.63905422972236)",162.57174373716893,16.2057216149868,1.9830168518489526,7.642676370040201,9372437.448665055,2.0,35.244370208176406,0.7449460848284577,0.45894369415178843,0.0,24.63905422972236
270,north east,2020-09-04,1397.2421655885628,64268109545.27777,114991.0,0.8,0.9,1.0,"(106.3781165482516, 23.07537981233314, 3.152826718671336, 7.498115506488866, 17633769.37934273, 2.0, 3.370959296159718, 1.0, 0.0, 0.0, 24.523292837410462)",106.3781165482516,23.07537981233314,3.152826718671336,7.498115506488866,17633769.37934273,2.0,3.370959296159718,1.0,0.0,0.0,24.523292837410462
274,north east,2020-09-11,6302.704185090015,289901702779.0744,114991.0,1.0,1.0999999999999999,1.2,"(234.9057752345836, 32.565957335791495, 4.5, 7.498115506488866, 17633769.37934273, 2.0, 3.8172425646798964, 1.0, 0.0, 0.0, 23.57578520637847)",234.9057752345836,32.565957335791495,4.5,7.498115506488866,17633769.37934273,2.0,3.8172425646798964,1.0,0.0,0.0,23.57578520637847
