,region,date,avg_r_lower,avg_r_avg,avg_r_upper
70,east of england,2021-01-08,1.1,1.2000593615321522,1.3001187230643039
71,east of england,2021-01-15,1.000041787354502,1.1500056718836753,1.299969556412849
72,east of england,2021-01-22,0.6002070025414564,0.750183756480131,0.9001605104188056
73,east of england,2021-01-29,0.6999976476159255,0.8000429635465391,0.9000882794771526
74,east of england,2021-02-05,0.6999254166742725,0.7999394622758109,0.8999535078773493
75,east of england,2021-02-12,0.6999535078773492,0.7999394622758109,0.8999254166742726
76,east of england,2021-02-19,0.6,0.700022069869288,0.8000441397385765
77,east of england,2021-02-26,0.600072230941653,0.7000722309416529,0.8000722309416531
78,east of england,2021-03-05,0.6000441397385764,0.7000441397385763,0.8000441397385765
79,east of england,2021-03-12,0.6,0.7,0.8000000000000002
80,east of england,2021-03-19,0.6000280912030767,0.7500140456015384,0.9
