,region,date,weighted_avg_sars_cov2,suspended_solids_weighted,ammonia_weighted,ophosph_weighted,sample_ph_weighted,control_weighted,reac_vol_control_weighted,raw_ansis_sars_repc_std_weighted,compo_frac_weighted,sars_below_lod_weighted,sars_below_loq_weighted,reception_delay_weighted,regional_popn,avg_r_lower,avg_r_avg,avg_r_upper
255,London,2021-01-17,50099.07212443962,121.89781082967507,18.582939329219386,1.9089388100895652,7.647179670914828,9641422.138373546,2.0,54.68132521631876,0.878489989277676,0.9220388567769682,0.0,24.602151259662474,8192429.461108724,,,
256,London,2021-01-18,122429.36837886297,159.64102905343216,25.86312504028311,2.7035804975130895,7.647179670914828,9641422.138373546,2.0,215.8047656809151,0.6399427108845874,1.0,0.36299646940155106,24.08295317252143,8192429.461108724,,,
257,London,2021-01-20,34963.00502286829,165.23434770242346,24.644057149480062,2.7581464902576043,7.647179670914828,9641422.138373546,2.0,61.231086906316385,0.8628963546932956,0.5001001147082554,0.0,23.40781572632827,8192429.461108724,,,
258,London,2021-01-22,22633.87993131011,162.08899821004857,24.90827449382789,2.87957691059369,7.647179670914828,9641422.138373546,2.0,21.269855998626596,0.829317557445651,0.5001001147082554,0.0,23.31013281552695,8192429.461108724,0.6998570765972038,0.8001390896590083,0.9004211027208128
259,London,2021-01-24,59075.16483628017,170.43044604414462,27.806015158734365,3.080457203944003,7.647179670914828,9641422.138373546,2.0,58.38449083350894,0.663911256433291,0.7326640102159047,0.0,23.797514633798166,8192429.461108724,,,
260,London,2021-01-25,89304.4821631736,270.20491379001646,27.121918339831478,3.0955368714373264,7.630323783978918,9535917.805744497,2.0,151.42510421646094,0.9546667459541845,0.0,0.0,23.871887940766428,7869962.847550197,,,
261,London,2021-01-27,139739.04146951844,255.71840244241832,27.369483963487482,3.2212668581971253,7.647179670914828,9641422.138373546,2.0,243.43392218012823,0.8185140087179085,1.0,0.40654533690084327,23.843673394405098,8192429.461108724,,,
262,London,2021-01-29,37435.432412546914,101.27023054607879,15.244430855827478,1.6615399341223587,7.715837948271753,10579712.648245068,2.0,89.92721351533636,0.17382425397123974,0.6685862316801855,0.0,24.223601017752735,6043672.867080667,0.6005640261236089,0.7502820130618044,0.9
263,London,2021-01-31,70503.92502968022,79.65988486759883,11.285083267719193,1.2961021688842076,7.647179670914828,9641422.138373546,2.0,138.15311878017857,0.8628963546932956,0.24253396575929684,0.0,23.778135054050868,8192429.461108724,,,
264,London,2021-02-01,10735.165523343338,152.54792479835544,16.903758920588245,1.9693741269500038,7.647179670914828,9641422.138373546,2.0,10.615362808243912,0.663911256433291,0.043548867499292244,0.0,23.398802101270494,8192429.461108724,,,
265,London,2021-02-03,56590.22077345781,174.84118915699503,18.834737670320038,2.1174557984039706,7.647179670914828,9641422.138373546,2.0,56.485197379676784,0.663911256433291,0.7566325557646082,0.043548867499292244,22.884276460590765,8192429.461108724,,,
266,London,2021-02-05,15172.69447322922,162.7006129519518,17.13603294122946,2.06450196217969,7.647179670914828,9641422.138373546,2.0,35.77554291363324,0.663911256433291,0.40654533690084327,0.0,24.3696398158032,8192429.461108724,0.6001429234027962,0.7003534747632026,0.8005640261236089
267,London,2021-02-07,21628.50037819778,215.02818648771435,17.945186446911485,2.096970128452073,7.647179670914828,9641422.138373546,2.0,25.295709111270366,0.829317557445651,0.7230537585169636,0.0,24.169176318282158,8192429.461108724,,,
268,London,2021-02-08,13069.552275400974,154.88583409699328,20.905057933009097,2.2724330645433173,7.647179670914828,9641422.138373546,2.0,26.15281682129047,0.4998998852917444,0.09355477780741212,0.0,29.86891852053315,8192429.461108724,,,
269,London,2021-02-10,23154.778578642574,202.17573655422083,22.342517187361416,2.648289549018997,7.647179670914828,9641422.138373546,2.0,26.464978517238663,0.4998998852917444,0.043548867499292244,0.0,24.655078140885017,8192429.461108724,,,
270,North East,2020-09-04,1397.2607570286177,106.37872727290485,23.075305785102444,3.152823942650626,7.498117357167869,17633673.266087756,2.0,3.3709653626968947,1.0,0.0,0.0,24.523310881547943,114988.83105005922,0.8,0.9,1.0
