date,areaCode,region,areaType,newCasesBySpecimenDate,cases_7d_avg
2020-09-12,E12000006,East Of England,region,85,131.14285714285714
2020-09-12,E12000009,South West,region,66,83.42857142857143
2020-09-12,E12000008,South East,region,140,183.0
2020-09-12,E12000005,West Midlands,region,291,384.85714285714283
2020-09-12,E12000007,London,region,232,333.57142857142856
2020-09-12,E12000002,North West,region,767,837.4285714285714
2020-09-13,E12000005,West Midlands,region,222,370.42857142857144
2020-09-13,E12000009,South West,region,55,80.14285714285714
2020-09-13,E12000003,Yorkshire And The Humber,region,303,400.7142857142857
2020-09-13,E12000006,East Of England,region,58,128.0
2020-09-13,E12000008,South East,region,62,166.0
2020-09-13,E12000007,London,region,112,319.7142857142857
2020-09-13,E12000004,East Midlands,region,123,232.42857142857142
2020-09-13,E12000001,North East,region,143,201.57142857142858
2020-09-13,E12000002,North West,region,620,843.4285714285714
2020-09-14,E12000001,North East,region,200,201.14285714285714
2020-09-14,E12000003,Yorkshire And The Humber,region,395,380.14285714285717
2020-09-14,E12000008,South East,region,153,158.14285714285714
2020-09-14,E12000006,East Of England,region,146,126.57142857142857
2020-09-14,E12000007,London,region,304,296.85714285714283
2020-09-14,E12000002,North West,region,1066,855.2857142857143
2020-09-14,E12000005,West Midlands,region,328,346.2857142857143
2020-09-14,E12000004,East Midlands,region,205,211.57142857142858
2020-09-14,E12000009,South West,region,79,77.42857142857143
2020-09-15,E12000009,South West,region,87,78.57142857142857
2020-09-15,E12000005,West Midlands,region,357,335.14285714285717
2020-09-15,E12000007,London,region,272,285.57142857142856
2020-09-15,E12000006,East Of England,region,151,123.85714285714286
2020-09-15,E12000004,East Midlands,region,214,196.42857142857142
2020-09-15,E12000008,South East,region,138,149.57142857142858
2020-09-15,E12000003,Yorkshire And The Humber,region,426,385.57142857142856
2020-09-15,E12000002,North West,region,1081,885.0
2020-09-15,E12000001,North East,region,268,206.42857142857142
2020-09-16,E12000003,Yorkshire And The Humber,region,552,407.7142857142857
2020-09-16,E12000006,East Of England,region,142,125.71428571428571
2020-09-16,E12000009,South West,region,74,78.0
2020-09-16,E12000005,West Midlands,region,467,345.7142857142857
2020-09-16,E12000004,East Midlands,region,250,195.85714285714286
2020-09-16,E12000001,North East,region,329,219.0
2020-09-16,E12000008,South East,region,149,146.42857142857142
2020-09-16,E12000002,North West,region,1464,972.2857142857143
2020-09-16,E12000007,London,region,294,278.0
2020-09-17,E12000008,South East,region,166,139.14285714285714
2020-09-17,E12000001,North East,region,372,238.0
2020-09-17,E12000003,Yorkshire And The Humber,region,585,424.14285714285717
2020-09-17,E12000004,East Midlands,region,252,201.57142857142858
2020-09-17,E12000005,West Midlands,region,513,363.0
2020-09-17,E12000009,South West,region,111,81.42857142857143
2020-09-17,E12000006,East Of England,region,148,123.0
2020-09-17,E12000002,North West,region,1419,1043.142857142857
2020-09-17,E12000007,London,region,328,268.14285714285717
2020-09-18,E12000007,London,region,386,275.42857142857144
2020-09-18,E12000004,East Midlands,region,259,207.0
2020-09-18,E12000009,South West,region,125,85.28571428571429
2020-09-18,E12000005,West Midlands,region,586,394.85714285714283
2020-09-18,E12000006,East Of England,region,212,134.57142857142858
2020-09-18,E12000001,North East,region,469,276.2857142857143
2020-09-18,E12000008,South East,region,201,144.14285714285714
2020-09-18,E12000002,North West,region,1420,1119.5714285714287
2020-09-18,E12000003,Yorkshire And The Humber,region,562,448.57142857142856
2020-09-19,E12000008,South East,region,175,149.14285714285714
2020-09-19,E12000006,East Of England,region,147,143.42857142857142
2020-09-19,E12000001,North East,region,437,316.85714285714283
2020-09-19,E12000004,East Midlands,region,251,222.0
2020-09-19,E12000009,South West,region,126,93.85714285714286
2020-09-19,E12000007,London,region,342,291.14285714285717
2020-09-19,E12000002,North West,region,1524,1227.7142857142858
2020-09-19,E12000003,Yorkshire And The Humber,region,567,484.2857142857143
2020-09-19,E12000005,West Midlands,region,588,437.2857142857143
2020-09-20,E12000007,London,region,415,334.42857142857144
2020-09-20,E12000002,North West,region,1577,1364.4285714285713
2020-09-20,E12000005,West Midlands,region,609,492.57142857142856
2020-09-20,E12000009,South West,region,148,107.14285714285714
2020-09-20,E12000006,East Of England,region,163,158.42857142857142
2020-09-20,E12000004,East Midlands,region,266,242.42857142857142
2020-09-20,E12000008,South East,region,175,165.28571428571428
2020-09-20,E12000001,North East,region,591,380.85714285714283
2020-09-20,E12000003,Yorkshire And The Humber,region,674,537.2857142857143
2020-09-21,E12000006,East Of England,region,167,161.42857142857142
2020-09-21,E12000002,North West,region,1498,1426.142857142857
2020-09-21,E12000007,London,region,434,353.0
2020-09-21,E12000001,North East,region,613,439.85714285714283
2020-09-21,E12000004,East Midlands,region,292,254.85714285714286
2020-09-21,E12000009,South West,region,152,117.57142857142857
2020-09-21,E12000008,South East,region,228,176.0
2020-09-21,E12000003,Yorkshire And The Humber,region,622,569.7142857142857
2020-09-21,E12000005,West Midlands,region,650,538.5714285714286
2020-09-22,E12000008,South East,region,267,194.42857142857142
2020-09-22,E12000001,North East,region,551,480.2857142857143
2020-09-22,E12000003,Yorkshire And The Humber,region,722,612.0
2020-09-22,E12000006,East Of England,region,219,171.14285714285714
2020-09-22,E12000004,East Midlands,region,271,263.0
2020-09-22,E12000009,South West,region,161,128.14285714285714
2020-09-22,E12000002,North West,region,1991,1556.142857142857
2020-09-22,E12000005,West Midlands,region,612,575.0
2020-09-22,E12000007,London,region,525,389.14285714285717
2020-09-23,E12000007,London,region,658,441.14285714285717
2020-09-23,E12000009,South West,region,169,141.71428571428572
2020-09-23,E12000005,West Midlands,region,693,607.2857142857143
2020-09-23,E12000004,East Midlands,region,297,269.7142857142857
2020-09-23,E12000002,North West,region,2184,1659.0
2020-09-23,E12000006,East Of England,region,197,179.0
2020-09-23,E12000003,Yorkshire And The Humber,region,734,638.0
2020-09-23,E12000001,North East,region,647,525.7142857142857
2020-09-23,E12000008,South East,region,259,210.14285714285714
2020-09-24,E12000009,South West,region,211,156.0
2020-09-24,E12000001,North East,region,729,576.7142857142857
2020-09-24,E12000007,London,region,602,480.2857142857143
2020-09-24,E12000005,West Midlands,region,695,633.2857142857143
2020-09-24,E12000006,East Of England,region,227,190.28571428571428
2020-09-24,E12000004,East Midlands,region,334,281.42857142857144
2020-09-24,E12000002,North West,region,2250,1777.7142857142858
2020-09-24,E12000003,Yorkshire And The Humber,region,936,688.1428571428571
2020-09-24,E12000008,South East,region,294,228.42857142857142
2020-09-25,E12000007,London,region,607,511.85714285714283
2020-09-25,E12000002,North West,region,2262,1898.0
2020-09-25,E12000003,Yorkshire And The Humber,region,810,723.5714285714286
2020-09-25,E12000006,East Of England,region,217,191.0
2020-09-25,E12000008,South East,region,321,245.57142857142858
2020-09-25,E12000005,West Midlands,region,605,636.0
2020-09-25,E12000004,East Midlands,region,330,291.57142857142856
2020-09-25,E12000009,South West,region,223,170.0
2020-09-25,E12000001,North East,region,613,597.2857142857143
2020-09-26,E12000005,West Midlands,region,570,633.4285714285714
2020-09-26,E12000004,East Midlands,region,322,301.7142857142857
2020-09-26,E12000002,North West,region,2053,1973.5714285714287
2020-09-26,E12000008,South East,region,218,251.71428571428572
2020-09-26,E12000007,London,region,552,541.8571428571429
2020-09-26,E12000003,Yorkshire And The Humber,region,833,761.5714285714286
2020-09-26,E12000006,East Of England,region,168,194.0
2020-09-26,E12000009,South West,region,131,170.71428571428572
2020-09-26,E12000001,North East,region,782,646.5714285714286
2020-09-27,E12000008,South East,region,269,265.14285714285717
2020-09-27,E12000009,South West,region,119,166.57142857142858
2020-09-27,E12000003,Yorkshire And The Humber,region,1031,812.5714285714286
2020-09-27,E12000002,North West,region,2275,2073.285714285714
2020-09-27,E12000004,East Midlands,region,402,321.14285714285717
2020-09-27,E12000001,North East,region,666,657.2857142857143
2020-09-27,E12000006,East Of England,region,210,200.71428571428572
2020-09-27,E12000005,West Midlands,region,500,617.8571428571429
2020-09-27,E12000007,London,region,535,559.0
2020-09-28,E12000009,South West,region,322,190.85714285714286
2020-09-28,E12000005,West Midlands,region,700,625.0
2020-09-28,E12000006,East Of England,region,311,221.28571428571428
2020-09-28,E12000004,East Midlands,region,566,360.2857142857143
2020-09-28,E12000007,London,region,744,603.2857142857143
2020-09-28,E12000002,North West,region,3025,2291.4285714285716
2020-09-28,E12000008,South East,region,376,286.2857142857143
2020-09-28,E12000001,North East,region,986,710.5714285714286
2020-09-28,E12000003,Yorkshire And The Humber,region,1461,932.4285714285714
2020-09-29,E12000007,London,region,705,629.0
2020-09-29,E12000001,North East,region,1058,783.0
2020-09-29,E12000008,South East,region,351,298.2857142857143
2020-09-29,E12000005,West Midlands,region,767,647.1428571428571
2020-09-29,E12000009,South West,region,275,207.14285714285714
2020-09-29,E12000002,North West,region,3231,2468.5714285714284
2020-09-29,E12000004,East Midlands,region,611,408.85714285714283
2020-09-29,E12000006,East Of England,region,335,237.85714285714286
2020-09-29,E12000003,Yorkshire And The Humber,region,1399,1029.142857142857
2020-09-30,E12000001,North East,region,967,828.7142857142857
2020-09-30,E12000003,Yorkshire And The Humber,region,1809,1182.7142857142858
2020-09-30,E12000005,West Midlands,region,943,682.8571428571429
2020-09-30,E12000008,South East,region,493,331.7142857142857
2020-09-30,E12000004,East Midlands,region,884,492.7142857142857
2020-09-30,E12000002,North West,region,3702,2685.4285714285716
2020-09-30,E12000006,East Of England,region,366,262.0
2020-09-30,E12000009,South West,region,403,240.57142857142858
2020-09-30,E12000007,London,region,1006,678.7142857142857
2020-10-01,E12000006,East Of England,region,363,281.42857142857144
2020-10-01,E12000007,London,region,1076,746.4285714285714
2020-10-01,E12000009,South West,region,400,267.57142857142856
2020-10-01,E12000001,North East,region,1201,896.1428571428571
2020-10-01,E12000008,South East,region,525,364.7142857142857
2020-10-01,E12000002,North West,region,3666,2887.714285714286
2020-10-01,E12000003,Yorkshire And The Humber,region,2166,1358.4285714285713
2020-10-01,E12000004,East Midlands,region,1064,597.0
2020-10-01,E12000005,West Midlands,region,898,711.8571428571429
2020-10-02,E12000004,East Midlands,region,1215,723.4285714285714
2020-10-02,E12000002,North West,region,3464,3059.4285714285716
2020-10-02,E12000009,South West,region,429,297.0
2020-10-02,E12000005,West Midlands,region,952,761.4285714285714
2020-10-02,E12000008,South East,region,642,410.57142857142856
2020-10-02,E12000007,London,region,1040,808.2857142857143
2020-10-02,E12000006,East Of England,region,423,310.85714285714283
2020-10-02,E12000001,North East,region,1227,983.8571428571429
2020-10-02,E12000003,Yorkshire And The Humber,region,2226,1560.7142857142858
2020-10-03,E12000002,North West,region,2976,3191.285714285714
2020-10-03,E12000007,London,region,800,843.7142857142857
2020-10-03,E12000003,Yorkshire And The Humber,region,1689,1683.0
2020-10-03,E12000009,South West,region,409,336.7142857142857
2020-10-03,E12000001,North East,region,1179,1040.5714285714287
2020-10-03,E12000004,East Midlands,region,1027,824.1428571428571
2020-10-03,E12000006,East Of England,region,366,339.14285714285717
2020-10-03,E12000005,West Midlands,region,758,788.2857142857143
2020-10-03,E12000008,South East,region,546,457.42857142857144
2020-10-04,E12000009,South West,region,446,383.42857142857144
2020-10-04,E12000002,North West,region,2945,3287.0
2020-10-04,E12000001,North East,region,1215,1119.0
2020-10-04,E12000005,West Midlands,region,695,816.1428571428571
2020-10-04,E12000004,East Midlands,region,1178,935.0
2020-10-04,E12000007,London,region,834,886.4285714285714
2020-10-04,E12000006,East Of England,region,360,360.57142857142856
2020-10-04,E12000003,Yorkshire And The Humber,region,1691,1777.2857142857142
2020-10-04,E12000008,South East,region,563,499.42857142857144
2020-10-05,E12000008,South East,region,750,552.8571428571429
2020-10-05,E12000006,East Of England,region,538,393.0
2020-10-05,E12000007,London,region,1298,965.5714285714286
2020-10-05,E12000002,North West,region,4407,3484.4285714285716
2020-10-05,E12000005,West Midlands,region,1176,884.1428571428571
2020-10-05,E12000004,East Midlands,region,1581,1080.0
2020-10-05,E12000009,South West,region,659,431.57142857142856
2020-10-05,E12000001,North East,region,1387,1176.2857142857142
2020-10-05,E12000003,Yorkshire And The Humber,region,2300,1897.142857142857
2020-10-06,E12000009,South West,region,664,487.14285714285717
2020-10-06,E12000005,West Midlands,region,1228,950.0
2020-10-06,E12000004,East Midlands,region,1520,1209.857142857143
2020-10-06,E12000007,London,region,1168,1031.7142857142858
2020-10-06,E12000001,North East,region,1457,1233.2857142857142
2020-10-06,E12000008,South East,region,688,601.0
2020-10-06,E12000006,East Of England,region,570,426.57142857142856
2020-10-06,E12000002,North West,region,4596,3679.4285714285716
2020-10-06,E12000003,Yorkshire And The Humber,region,2446,2046.7142857142858
