,date,weighted_avg_sars_cov2,gene_copies_per_day,regional_pop,avg_r_lower,avg_r_avg,avg_r_upper,suspended_solids_mg_l,ammonia_mg_l,ophosph_mg_l,sample_ph_pre_ansis,control_gc_l_mean,reac_vol_control,raw_ansis_sars_repc_std,compo_frac,sars_below_lod,sars_below_loq,reception_delay,log_weighted_avg,log_gc_per_day,region
38,2020-10-12,1683.2040492311946,1397705783689.1748,2102620.393474188,1.2993684489679034,1.3782058118910567,1.45704317481421,135.05192193053227,18.439109320868937,1.9376821207614114,7.386102422927425,6637382.6759714065,2.0,5.484715397814372,0.6834331157918272,0.0,0.0,24.80878712541224,3.226136767243517,12.145415762276775,yorkshire and the humber
39,2020-10-13,2015.5398692686995,1668144390062.4219,2091368.045105641,1.2995048926203676,1.3712737471141987,1.4430426016080298,152.20523223366968,21.82090984477476,2.2049773017162666,7.380253403952045,6791391.339197246,2.0,6.688693151814113,0.6817298666332717,0.0,0.0,24.737346769026455,3.304391393326152,12.222233639283353,yorkshire and the humber
40,2020-10-14,2347.8756893062045,1938582996435.6694,2080115.696737094,1.2996413362728318,1.3643416823373407,1.4290420284018495,169.35854253680708,25.202710368680584,2.472272482671121,7.374404384976666,6945400.002423085,2.0,7.892670905813854,0.6800266174747164,0.0,0.0,24.665906412640666,3.3706750990161467,12.287484399164443,yorkshire and the humber
41,2020-10-15,2680.2115093437087,2209021602808.917,2068863.348368547,1.2997777799252959,1.3574096175604824,1.4150414551956692,186.51185283994454,28.584510892586408,2.7395676636259765,7.368555366001286,7099408.665648925,2.0,9.096648659813596,0.6783233683161609,0.0,0.0,24.594466056254877,3.42816906780352,12.3441999630126,yorkshire and the humber
42,2020-10-16,3012.5473293812142,2479460209182.164,2057611.0,1.29991422357776,1.3504775527836244,1.4010408819894888,203.66516314308194,31.966311416492232,3.0068628445808314,7.362706347025907,7253417.328874764,2.0,10.300626413813337,0.6766201191576056,0.0,0.0,24.523025699869088,3.4789338787290247,12.394357143048069,yorkshire and the humber
43,2020-10-17,6012.76138709234,5056855351514.572,2068863.348368547,1.2713550487809373,1.3289807595288208,1.3866064702767047,230.33270827658706,31.15409559753426,3.0440957692733406,7.355207215728265,7099408.665648925,2.0,13.392549596888427,0.6783233683161609,0.06794916071507558,0.0,24.61189412692136,3.779073969465773,12.703880531062346,yorkshire and the humber
44,2020-10-18,9012.975444803464,7634250493846.981,2080115.696737094,1.2427958739841143,1.3074839662740174,1.3721720585639205,257.00025341009217,30.341879778576285,3.0813286939658497,7.347708084430623,6945400.002423085,2.0,16.484472779963518,0.6800266174747164,0.13589832143015115,0.0,24.700762553973632,3.9548681878643386,12.882766405850269,yorkshire and the humber
45,2020-10-19,12013.18950251459,10211645636179.39,2091368.045105641,1.2142366991872915,1.2859871730192138,1.3577376468511364,283.6677985435973,29.52966395961831,3.118561618658359,7.340208953132981,6791391.339197246,2.0,19.576395963038607,0.6817298666332717,0.20384748214522674,0.0,24.789630981025905,4.079658327922698,13.009095735536626,yorkshire and the humber
46,2020-10-20,15013.403560225714,12789040778511.799,2102620.393474188,1.1856775243904687,1.2644903797644105,1.3433032351383525,310.33534367710246,28.717448140660334,3.155794543350868,7.332709821835339,6637382.6759714065,2.0,22.668319146113696,0.6834331157918272,0.2717966428603023,0.0,24.878499408078174,4.176479158589913,13.10683797213921,yorkshire and the humber
47,2020-10-21,18013.617617936838,15366435920844.207,2113872.741842735,1.157118349593646,1.242993586509607,1.3288688234255683,337.0028888106076,27.90523232170236,3.1930274680433772,7.325210690537697,6483374.012745568,2.0,25.760242329188788,0.6851363649503825,0.33974580357537787,0.0,24.967367835130446,4.255600939567804,13.186573149256333,yorkshire and the humber
48,2020-10-22,21013.831675647965,17943831063176.617,2125125.090211282,1.1285591747968229,1.2214967932548033,1.3144344117127842,363.6704339441127,27.093016502744387,3.2302603927358864,7.317711559240055,6329365.349519728,2.0,28.852165512263877,0.686839614108938,0.4076949642904535,0.0,25.05623626218272,4.32250524916306,13.2539151718168,yorkshire and the humber
49,2020-10-23,24014.04573335909,20521226205509.023,2136377.438579829,1.1,1.2,1.3,390.33797907761783,26.280800683786413,3.2674933174283955,7.310212427942413,6175356.686293889,2.0,31.94408869533897,0.6885428632674934,0.47564412500552905,0.0,25.14510468923499,4.380465333387197,13.312203307627676,yorkshire and the humber
